列名,字段类型,描述,是否分区列
face_id,string,人脸id,
pid,string,local pid,
arrive_time,timestamp,事件产生时间（2019-09-13 11:08:04.000）,
camera_id,string,摄像头id,
face_quality,float,人脸对比得分,
gender,smallint,性别,
age,int,年龄,
face_path,string,原始数据图片存放路径,
need_register,smallint,,
pid_source,string,"7.22之后产出pid的来源,一般有两个值,daily_pid/tmp_pid,DID建档/FID建档",
brand,string,甲方ID,分区列
city,string,甲方所在城市,分区列
site,string,甲方所在站点,分区列
dt,string,统计日期,分区列
