列名,字段类型,备注,描述
car_plate,string,,车牌
car_brand,string,,"车品牌,类似保时捷"
sub_car_brand,string,,"车二级品牌,类似保时捷卡宴"
car_model,string,,识别出的车类型
price_range,string,,车的价格区间
car_color,string,,车颜色
car_width,int,,车宽
car_height,int,,车高
car_length,int,,车长
dt,string,,抓拍车的日期
