表名, 用途描述
dw_staging.ods_face_info_v2, "Mall 客流上游数据，人员建档数据"
dw_staging.ods_mall_traffic_v1, "Mall 客流上游数据，场门客流数据"
dw_staging.ods_store_traffic_v1, "Mall 客流上游数据，店铺客流数据"
dw_staging.ods_track_v1, "Mall 客流上游数据，轨迹数据"
dw_staging.ods_faceid_globalpid_mapping_v1, "Mall 客流上游数据，pid跨天映射"
dw_staging.ods_gpid_merge_info_v1, "pid_global修正"
