列名,字段类型,描述,是否分区列
car_image_url,string,抓拍车辆图片url,
car_plate,string,车牌,
channel_id,string,出入口摄像头id,
floor_id,string,楼层,
event_time,string,事件时间,
entrance_name,string,停车场出入口名称,
event_id,smallint,"事件id, 0代表入场, 1代表出场",
ts,bigint,事件时间戳,
pair_id,int,"匹配ID,当同一个车牌对应pair_id相同时,为匹配上的一次完整进出场事件",
brand,string,甲方品牌,
city,string,甲方所在城市,
site,string,甲方所在站点,
dt,string,"事件日期,2021-06-22",
