列名,字段类型,描述,是否分区列
id,int,用于内部排序的楼层id,
internal_floor_id,string,内部的楼层id,
floor_id,string,甲方楼层id,
brand,string,甲方id,
city,string,甲方所在城市,
site,string,甲方所在站点id,
scale,string,每个楼层每米对应的像素数,
event_floor_id,string,上游产出的事件数据中的floor_id,
floor_name,string,,
