表名,表类型,用途描述
dw_staging.ods_faceid_globalpid_mapping_v1,物理表,
dw_staging.ods_face_info_v2,物理表,
dw_staging.ods_gpid_merge_info_v1,物理表,
dw_staging.ods_mall_traffic_v1,物理表,
dw_staging.ods_store_traffic_v1,物理表,
dw_staging.ods_track_v1,物理表,
